Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Gesture
7.474756833,-7.117561845,-4.205046771,-0.8144873196,8.30695459,Go Away
7.484734833,-6.943104318,-4.515880077,0.05374585211,8.282678254,Go Away
7.494711833,-6.821809677,-4.817792287,0.9643768921,8.407034708,Go Away
7.504689833,-6.628401909,-5.159204192,1.819755545,8.594452281,Go Away
7.514667833,-6.309307657,-5.544206505,2.555315101,8.779249635,Go Away
7.524645833,-5.936950532,-5.976418653,3.196536265,9.010150145,Go Away
7.534622833,-5.623241565,-6.457517617,3.630126601,9.300440775,Go Away
7.544600833,-5.251509508,-6.89405495,3.757671916,9.445975015,Go Away
7.554578833,-4.685113994,-7.329553818,3.708443038,9.456489944,Go Away
7.564555833,-4.077941751,-7.806428168,3.544553185,9.493881553,Go Away
7.574533833,-3.491011985,-8.146760677,3.411750346,9.497205622,Go Away
7.584511833,-3.028027696,-8.305088074,3.484109055,9.501708033,Go Away
7.594489833,-2.617514273,-8.476560597,3.835599221,9.665158142,Go Away
7.604466833,-2.375883056,-8.587593375,4.36425856,9.921609398,Go Away
7.614444833,-2.161685806,-8.637511055,4.977781463,10.20087207,Go Away
7.624422833,-1.681574729,-8.633916187,5.578289341,10.41582998,Go Away
7.634399833,-0.7389395392,-8.400569013,5.900739895,10.29244007,Go Away
7.644377833,0.5211377728,-8.124067048,5.767364906,9.976700253,Go Away
7.654355833,1.971306019,-7.675221326,5.260638181,9.511539513,Go Away
7.664333833,3.490029068,-7.21870815,4.498926953,9.194041222,Go Away
7.674310833,4.826120184,-6.889459038,3.645370877,9.167595688,Go Away
7.684288833,5.958663583,-6.289721823,2.87209181,9.12771514,Go Away
7.694266833,6.951917827,-5.455357479,2.505603243,9.185212807,Go Away
7.704243833,7.781455879,-4.712057671,2.615038562,9.465356294,Go Away
7.714221833,8.786321524,-4.125587788,2.996288717,10.15862523,Go Away
7.724199833,10.04082702,-3.59244919,3.24597652,11.14720871,Go Away
7.734177833,11.27460122,-3.021631134,3.171575378,12.09569253,Go Away
7.744154833,12.14631816,-2.604895982,2.890782727,12.75441699,Go Away
7.754132833,12.61305929,-2.236077592,2.433743155,13.03888083,Go Away
7.764110833,12.63512317,-1.822556654,1.961760586,12.91574833,Go Away
7.774087833,12.38906766,-1.375311899,1.682644916,12.5782262,Go Away
7.784065833,11.98346151,-0.9877321333,1.644001983,12.1359675,Go Away
7.794043833,11.36790407,-0.7267317224,1.722676124,11.52063345,Go Away
7.804021833,10.63381421,-0.6493964481,1.706250272,10.78939342,Go Away
7.813998833,9.972278945,-0.5329450554,1.476370351,10.09505063,Go Away
7.823976833,9.429295975,-0.4264415306,1.18578259,9.513125423,Go Away
7.833954833,8.985489968,-0.3513094872,1.074835181,9.056363453,Go Away
7.843931833,8.611286293,-0.221582576,1.133755088,8.68842627,Go Away
7.853909833,8.148862166,-0.1238159609,1.393838071,8.268135798,Go Away
7.863887833,7.567572917,-0.1017620176,1.812569171,7.782282593,Go Away
7.873865833,6.886872815,-0.1766262585,2.246531829,7.246179632,Go Away
7.883842833,6.232396891,-0.306608693,2.531126339,6.73374936,Go Away
7.893820833,5.565234262,-0.4784788263,2.642247703,6.17917853,Go Away
7.903798833,4.964386661,-0.693106724,2.551452138,5.62453908,Go Away
7.913775833,4.42921791,-0.7666325372,2.225841164,5.015981023,Go Away
7.923753833,3.914674042,-0.7906967533,1.769685837,4.368256194,Go Away
7.933731833,3.506576396,-0.8011363721,1.356243837,3.844124719,Go Away
7.943709833,3.137249299,-0.8939837247,1.130462375,3.452460752,Go Away
7.953686833,2.795281323,-1.060865598,1.067341682,3.174626239,Go Away
7.963664833,2.497518006,-1.309161764,1.199626165,3.064409184,Go Away
7.973642833,2.273222029,-1.55659605,1.582816426,3.177394765,Go Away
7.983619833,2.080926695,-1.713410187,2.074393601,3.401343733,Go Away
7.993597833,1.994579107,-1.805897352,2.598867795,3.740818743,Go Away
8.003575833,1.853250443,-1.90786753,2.971395366,3.987942594,Go Away
8.013553833,1.694687403,-2.179751363,3.044205187,4.109801287,Go Away
8.023530833,1.318280789,-2.655393705,2.748042545,4.042365372,Go Away
8.033508833,0.6486990215,-3.423550027,2.157669353,4.098419482,Go Away
8.043486833,0.8152170521,-3.561679972,1.439274884,3.92704154,Go Away
8.053463833,1.388398845,-3.216483749,1.161181599,3.690767097,Go Away
8.063441833,1.79020474,-2.770201446,0.8422469759,3.404148797,Go Away
8.073419833,1.601323595,-2.939847298,0.8822571337,3.461981664,Go Away
8.083397833,1.375429136,-3.419869789,1.234722031,3.88739671,Go Away
8.093374833,1.240976797,-3.596749232,1.67763663,4.158256018,Go Away
8.103352833,1.027771527,-3.524885198,2.021920687,4.191574076,Go Away
8.113330833,0.7292064102,-3.378589616,2.280142209,4.140731611,Go Away
8.123307833,0.3911709065,-3.388125256,2.2881833,4.10709024,Go Away
8.133285833,-0.05252524585,-3.619094952,2.026326272,4.148084538,Go Away
8.143263833,-0.7003701353,-3.766790357,1.417705967,4.08523171,Go Away
8.153240833,-1.456972797,-3.645655929,0.5705332965,3.967251583,Go Away
8.163218833,-2.030145819,-3.418591003,-0.1768490374,3.979890963,Go Away
8.173196833,-2.149230944,-3.074901023,-0.9596643287,3.872359174,Go Away
8.183174833,-1.953486045,-2.634235556,-2.077854567,3.882368387,Go Away
8.193151833,-2.308339237,-2.409645756,-2.326489287,4.067846495,Go Away
8.203129833,-2.293056369,-2.321760936,-1.976972848,3.815377176,Go Away
8.213107833,-1.938173649,-2.189898621,-1.176650116,3.152249762,Go Away
8.223085833,-1.475808872,-2.065885025,-0.09684100091,2.540722523,Go Away
8.233062833,-1.179694761,-2.141698853,0.7709425199,2.563767945,Go Away
8.243040833,-1.248203956,-2.175567681,1.090434091,2.734987085,Go Away
8.253018833,-1.728756205,-2.00808062,1.104150782,2.870563488,Go Away
8.262995833,-2.395763882,-1.752828607,1.00417275,3.133760618,Go Away
8.272973833,-2.928970308,-1.443485756,0.9616994521,3.404024681,Go Away
8.282951833,-3.180097695,-1.092074527,0.994027538,3.506242842,Go Away
8.292928833,-3.057503217,-0.8001686579,1.115367788,3.351513256,Go Away
8.302906833,-2.70939625,-0.6563569736,1.312152322,3.081132297,Go Away
8.312884833,-2.354304784,-0.6860742778,1.387310678,2.817459822,Go Away
